순위,제목,가수,좋아요수
1,Magnetic,아일릿(ILLIT),"
총건수
												0
											"
2,나는 아픈 건 딱 질색이니까,(여자)아이들,"
총건수
												0
											"
3,첫 만남은 계획대로 되지 않아,TWS (투어스),"
총건수
												0
											"
4,밤양갱,비비 (BIBI),"
총건수
												0
											"
5,Love wins all,아이유,"
총건수
												0
											"
6,EASY,LE SSERAFIM (르세라핌),"
총건수
												0
											"
7,천상연,이창섭,"
총건수
												0
											"
8,Smart,LE SSERAFIM (르세라핌),"
총건수
												0
											"
9,비의 랩소디,임재현,"
총건수
												0
											"
10,To. X,태연 (TAEYEON),"
총건수
												0
											"
11,예뻤어,DAY6 (데이식스),"
총건수
												0
											"
12,한 페이지가 될 수 있게,DAY6 (데이식스),"
총건수
												0
											"
13,사랑은 늘 도망가,임영웅,"
총건수
												0
											"
14,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"
총건수
												0
											"
15,Love 119,RIIZE,"
총건수
												0
											"
16,홀씨,아이유,"
총건수
												0
											"
17,모래 알갱이,임영웅,"
총건수
												0
											"
18,우리들의 블루스,임영웅,"
총건수
												0
											"
19,Perfect Night,LE SSERAFIM (르세라핌),"
총건수
												0
											"
20,Do or Die,임영웅,"
총건수
												0
											"
21,헤어지자 말해요,박재정,"
총건수
												0
											"
22,다시 만날 수 있을까,임영웅,"
총건수
												0
											"
23,에피소드,이무진,"
총건수
												0
											"
24,무지개,임영웅,"
총건수
												0
											"
25,이제 나만 믿어요,임영웅,"
총건수
												0
											"
26,Seven (feat. Latto) - Clean Ver.,정국,"
총건수
												0
											"
27,London Boy,임영웅,"
총건수
												0
											"
28,인사,범진,"
총건수
												0
											"
29,Drama,aespa,"
총건수
												0
											"
30,Polaroid,임영웅,"
총건수
												0
											"
31,아버지,임영웅,"
총건수
												0
											"
32,I AM,IVE (아이브),"
총건수
												0
											"
33,사랑인가 봐,멜로망스,"
총건수
												0
											"
34,인생찬가,임영웅,"
총건수
												0
											"
35,A bientot,임영웅,"
총건수
												0
											"
36,WAY 4 LUV,PLAVE,"
총건수
												0
											"
